pairwise_accuracy,spearman,kendall,verifier_seed,verifier_human_rank,human_best_seed,top1_correct,baseline_seed,baseline_human_rank,rank_improvement_over_baseline,fold,held_out_scenario,unavailable_metrics
0.16666666666666666,-0.7999999999999999,-0.6666666666666669,7,4,6,0,5,3,-1,held_out_ball_dominos,ball_dominos,
0.5,0.0,0.0,8,2,7,0,5,4,2,held_out_bulb,bulb,
0.3333333333333333,-0.39999999999999997,-0.3333333333333334,5,4,6,0,5,4,0,held_out_cantaloupes,cantaloupes,
0.8333333333333334,0.7999999999999999,0.6666666666666669,7,1,7,1,5,2,1,held_out_golf,golf,
0.8333333333333334,0.7999999999999999,0.6666666666666669,5,1,5,1,5,1,0,held_out_paw_tool1,paw_tool1,
0.6666666666666666,0.39999999999999997,0.3333333333333334,5,3,6,0,5,3,0,held_out_paw_tool2,paw_tool2,
0.5,0.0,0.0,6,3,5,0,5,1,-2,held_out_pendulum,pendulum,
0.3333333333333333,-0.6000000000000001,-0.3333333333333334,8,3,5,0,5,1,-2,held_out_pool,pool,
1.0,1.0,1.0,7,1,7,1,5,2,1,held_out_tennis,tennis,
0.5,0.0,0.0,5,3,8,0,5,3,0,held_out_toycar,toycar,contact_causality
