scenario,seed,video,interaction_mode,object_count,contact_metric_valid,expected_angle_deg,goal_completion,goal_progress_diameters,goal_progress_px,direction_alignment,contact_causality,motion_stability,flow_consistency,track_visibility,projectile_onset_frame,target_onset_frame,contact_frame,minimum_gap_px,target_diameter_px,forward_motion_fraction,reverse_motion_fraction,precontact_motion_fraction,postcontact_response,collision_approach_score,collision_transfer_alignment,target_noise_threshold_px,postcontact_displacement_diameters,mask_area_change_robust,trajectory_jerk_norm,track_mask_disagreement_norm
ball_dominos,5,ball_dominos_seed5,collision,2,1,5.0,0.52679,0.748216,33.04,0.786983,0.803755,0.86636,0.92089,0.998071,3,20,20,0.0,44.159,0.892947,0.050528,0.028363,0.973767,0.898715,0.999899,0.12,0.56473,0.007216,0.004849,0.012413
ball_dominos,6,ball_dominos_seed6,collision,2,1,5.0,0.44296,0.585119,25.348,0.474996,0.859078,0.898657,0.882672,0.994599,1,18,18,0.0,43.321,0.720675,0.166753,0.0,0.947851,0.906343,0.998177,0.12,0.461405,0.005654,0.004026,0.007119
ball_dominos,7,ball_dominos_seed7,collision,2,1,5.0,0.945165,2.903427,133.638,0.765549,0.614952,0.823611,0.951601,1.0,1,18,18,0.0,46.028,0.765549,0.0,0.06961,0.933945,0.811361,0.988849,0.12,0.447618,0.008811,0.009153,0.01068
ball_dominos,8,ball_dominos_seed8,collision,2,1,5.0,0.544513,0.786388,34.931,0.360823,0.798436,0.892874,0.893148,0.999228,1,14,14,0.955,44.42,0.632835,0.224729,0.0,0.982661,0.904736,0.999347,0.12,0.615462,0.006122,0.004466,0.006559
bulb,5,bulb_seed5,direct_actuation,2,1,0.0,0.772765,1.481769,73.138,0.123406,0.771951,0.124737,0.851992,0.347222,1,8,0,0.0,49.358,0.3671,0.436061,0.0,0.951342,nan,nan,nan,0.45344,0.176135,0.043912,0.077783
bulb,6,bulb_seed6,direct_actuation,2,1,0.0,0.441228,0.582014,33.479,0.152847,0.539984,0.479547,0.942189,0.90625,1,1,0,0.0,57.522,0.442598,0.425289,0.0,0.745579,nan,nan,nan,0.205315,0.066607,0.015228,0.016591
bulb,7,bulb_seed7,direct_actuation,2,1,0.0,0.503046,0.699257,38.639,0.150998,0.935406,0.197745,0.94178,0.814815,1,7,0,0.0,55.257,0.4169,0.406231,0.0,0.949622,nan,nan,nan,0.448229,0.141907,0.039513,0.030127
bulb,8,bulb_seed8,direct_actuation,2,1,0.0,0.791859,1.569541,86.637,0.159141,0.904263,0.106874,0.917528,0.767361,1,6,0,0.0,55.199,0.419371,0.387585,0.0,0.976601,nan,nan,nan,0.563257,0.252164,0.015271,0.022026
cantaloupes,5,cantaloupes_seed5,collision,2,1,0.0,0.95028,3.001347,144.557,0.898174,0.891444,0.488836,0.864304,0.68287,1,18,18,0.955,48.164,0.898174,0.0,0.0,0.990803,0.993489,0.972356,0.12041,1.051982,0.026104,0.028401,0.074296
cantaloupes,6,cantaloupes_seed6,collision,2,1,0.0,0.973408,3.627148,141.335,0.833818,0.998294,0.497779,0.684006,0.365741,2,19,19,0.0,38.966,0.833818,0.0,0.0,0.999387,0.998906,0.997957,0.12,2.230712,0.02651,0.001707,0.15615
cantaloupes,7,cantaloupes_seed7,collision,2,1,0.0,0.921554,2.545345,130.456,0.829767,0.463229,0.439646,0.686188,0.322917,5,17,17,7.64,51.253,0.84284,0.006253,0.0,0.97915,0.996868,0.940446,0.128132,0.872083,0.017179,0.018435,0.166666
cantaloupes,8,cantaloupes_seed8,collision,2,1,0.0,0.951953,3.035586,147.372,0.818727,0.267732,0.376016,0.811199,0.632716,1,24,18,0.0,48.548,0.818727,0.0,0.0,0.273857,0.977634,0.988739,0.12137,0.165791,0.069826,0.022066,0.066285
golf,5,golf_seed5,strike,2,1,185.0,0.985349,4.223255,104.188,0.315699,1.0,0.0,0.910062,0.152392,2,6,7,0.0,24.67,0.644532,0.285494,0.0,1.0,nan,nan,nan,4.239767,0.001679,0.000451,4.850383
golf,6,golf_seed6,strike,2,1,185.0,0.966793,3.405002,128.595,0.910482,0.711317,0.171154,0.950472,0.362654,1,8,10,1.91,37.767,0.910482,0.0,0.029255,0.999999,nan,nan,nan,2.025663,0.031498,0.00034,0.503267
golf,7,golf_seed7,strike,2,1,185.0,0.97336,3.625353,127.74,0.915368,1.0,0.161334,0.890417,0.341821,8,16,16,0.0,35.235,0.915368,0.0,0.0,1.0,nan,nan,nan,3.254816,0.012937,0.003124,0.56318
golf,8,golf_seed8,strike,2,1,185.0,0.947817,2.952994,125.209,0.900108,0.0,0.287824,0.9225,0.445602,8,19,4,105.05,42.401,0.900108,0.0,0.0,0.025823,nan,nan,nan,0.003924,0.035598,0.002087,0.313252
paw_tool1,5,paw_tool1_seed5,direct_actuation,2,1,335.0,0.999254,7.201153,174.572,0.845159,0.854139,0.000121,0.885972,0.197145,1,7,0,0.0,24.242,0.845159,0.0,0.0,0.999928,nan,nan,nan,1.430948,0.015856,0.00052,2.96205
paw_tool1,6,paw_tool1_seed6,direct_actuation,2,1,335.0,0.999571,7.755197,170.077,0.681822,0.653095,0.133266,0.778241,0.207176,2,10,0,0.955,21.931,0.681822,0.0,0.0,0.998908,nan,nan,nan,1.022965,0.014117,0.00088,0.631222
paw_tool1,7,paw_tool1_seed7,direct_actuation,2,1,335.0,0.972866,3.606962,100.676,0.81082,0.870367,0.0,0.432257,0.167824,3,9,0,0.0,27.911,0.81082,0.0,0.0,0.998025,nan,nan,nan,0.934059,0.038435,0.000763,7.252785
paw_tool1,8,paw_tool1_seed8,direct_actuation,2,1,335.0,0.984237,4.150082,111.563,0.797727,0.867531,0.0,0.452191,0.167438,7,9,0,0.0,26.882,0.797727,0.0,0.0,0.999998,nan,nan,nan,1.9698,0.030057,0.002155,8.251693
